seed,total_requests,hits,hit_rate,num_misses,outage_rate,pair_count,single_count,pairs_both_satisfied,pairs_partial,pairs_none,top_popular,policy,run_idx
2025,10000,7272,0.7272,2728,0.5,1364,0,0,1364,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",topk,1
2026,10000,7284,0.7284,2716,0.5,1358,0,0,1358,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,2
2027,10000,7279,0.7279,2721,0.4998162440279309,1360,1,0,1360,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",topk,3
2028,10000,7354,0.7354,2646,0.5,1323,0,0,1323,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",topk,4
2029,10000,7246,0.7246,2754,0.5,1377,0,0,1377,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(11)]",topk,5
2030,10000,7319,0.7319,2681,0.4998135024244685,1340,1,0,1340,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,6
2031,10000,7307,0.7307,2693,0.441515038989974,1346,1,157,1189,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,7
2032,10000,7312,0.7312,2688,0.5,1344,0,0,1344,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,8
2033,10000,7309,0.7309,2691,0.4998141954663694,1345,1,0,1345,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,9
2034,10000,7283,0.7283,2717,0.49981597350018403,1358,1,0,1358,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,10
2035,10000,7284,0.7284,2716,0.49337260677466865,1358,0,18,1340,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,11
2036,10000,7208,0.7208,2792,0.5,1396,0,0,1396,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",topk,12
2037,10000,7259,0.7259,2741,0.32360452389638816,1370,1,483,887,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(8), np.int32(10)]",topk,13
2038,10000,7312,0.7312,2688,0.5,1344,0,0,1344,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,14
2039,10000,7258,0.7258,2742,0.5,1371,0,0,1371,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,15
2040,10000,7308,0.7308,2692,0.3777860326894502,1346,0,329,1017,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",topk,16
2041,10000,7305,0.7305,2695,0.4998144712430427,1347,1,0,1347,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,17
2042,10000,7247,0.7247,2753,0.4998183799491464,1376,1,0,1376,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",topk,18
2043,10000,7215,0.7215,2785,0.44560143626570914,1392,1,151,1241,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",topk,19
2044,10000,7324,0.7324,2676,0.34641255605381166,1338,0,411,927,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,20
2045,10000,7232,0.7232,2768,0.5,1384,0,0,1384,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",topk,21
2046,10000,7304,0.7304,2696,0.5,1348,0,0,1348,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,22
2047,10000,7331,0.7331,2669,0.39303109778943424,1334,1,285,1049,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",topk,23
2048,10000,7229,0.7229,2771,0.34680620714543486,1385,1,424,961,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,24
2049,10000,7299,0.7299,2701,0.4998148833765272,1350,1,0,1350,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,25
2050,10000,7275,0.7275,2725,0.4998165137614679,1362,1,0,1362,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,26
2051,10000,7247,0.7247,2753,0.4998183799491464,1376,1,0,1376,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(8), np.int32(10)]",topk,27
2052,10000,7265,0.7265,2735,0.48007312614259595,1367,1,54,1313,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,28
2053,10000,7303,0.7303,2697,0.4998146088246199,1348,1,0,1348,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",topk,29
